bank_id,bank,scope,status,source_state,latest_period,report_url,availability_pct,aisp_availability_pct,pisp_availability_pct,aisp_response_ms,pisp_response_ms,aisp_error_pct,pisp_error_pct,metric_method,note,source_url,shared_error_pct,country_scope,report_kind,archived_days,calendar_days,first_day,last_day
csas,Česká spořitelna,main,ok,ok,2026-Q2,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter,,99.5523,99.2837,,,,,prumer dennich hodnot z verejneho JSON podle AISP/PISP,Portal poskytuje verejne denni hodnoty dostupnosti pro jednotliva PSD2 API.,https://developers.erstegroup.com/api-health-check/bank.csas/last-quarter,,,,,,,
csob,ČSOB,main,partial,ok,2026-Q2,https://www.csob.cz/documents/10710/21871290/psd2-q2-2026.xlsx,,,,879.2395,612.5572,5.956,1.3187,prumer dennich XLSX hodnot; chybovost prevedena z podilu na procenta; uptime chybi,"Oficialni reportingova stranka je obcas nestabilni; XLSX publikuje odezvu a chybovost, ale ne dostupnost.",https://www.csob.cz/csob/otevrene-bankovnictvi-csob/pro-vyvojare/seznam-api/reporting,,,,,,,
kb,Komerční banka,main,ok,ok,2026-Q2,https://www.kb.cz/getmedia/956647de-9725-4cf0-9975-52c1e3462491/kb-psd2-2026-q2-cz.pdf,97.1856,,,378.5604,408.4945,0.0879,0.081,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.kb.cz/cs/dostupnost-sluzeb-internetoveho-a-otevreneho-bankovnictvi-api,,,,,,,
rb,Raiffeisenbank,main,outdated,ok,2025-Q1,https://www.rb.cz/attachments/infopovinnost/statistiky-vykonu-rozhrani-otevreneho-bankovnictvi-1Q-2025.pdf,,99.9981,100.0,,,0.0016,0.0,prumer publikovane denni dostupnosti AISP/PISP; nejde o dolozene minuty uptime; chybovost = soucet poctu chyb / soucet poctu volani x 100,"Verejne reporty jsou v dynamickem katalogu dokumentu. Dostupnost AISP/PISP je prumer publikovanych procent, nikoli dolozene mereni minut uptime. Report oznaceny 3Q2025 obsahuje denni datumy 2024; jeho metriky nejsou importovany. Novejsi report nebyl pouzit: RB report oznaceny 2025-Q3 obsahuje den 2024-07-01 (2024-Q3); datumy se neprepisuji",https://www.rb.cz/informacni-servis/dokumenty-ke-stazeni,,,,,,,
air,Air Bank,main,ok,ok,2026-Q2,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2026,98.9736,,,62.8242,72.7143,0.0066,0.0075,soucet minut provozu API / kalendarni minuty,Dostupnost je vypoctena z denne publikovane doby provozuschopnosti API.,https://www.airbank.cz/aplikace-tretich-stran/,,,,,,,
moneta,MONETA Money Bank,main,partial,ok,rolling-90d-to-2026-09-21,https://www.moneta.cz/otevrene-bankovnictvi,,,,493.9778,148.0333,0.17,0.0944,prumer dennich hodnot v klouzavem 90dennim okne; uptime chybi,"Banka publikuje klouzavych 90 dni odezvy a chybovosti, nikoli dostupnost/uptime. Tracker z uchovanych dni pocita oznacene souhrny uzavrenych ctvrtleti; neuplne pokryti je uvedeno, chybejici dny nejsou domyslene.",https://www.moneta.cz/otevrene-bankovnictvi,,,,,,,
fio,Fio banka,main,ok,ok,2026-Q2,https://developers.fio.cz/stats/PSD2_2026Q2.pdf,99.9809,,,22.7143,16.0,0.0199,0.0034,soucet PSD2 API provozu / (provoz + vypadek),Dostupnost je vypoctena z denni doby provozu a vypadku PSD2 API.,https://developers.fio.cz/stats.html,,,,,,,
mbank,mBank,main,unverified,ok,2026-Q2,https://dpprodassetstorage.blob.core.windows.net/prod-asset-storage-container/1d57afe69deb4b25a25aac9487a31605.pdf,99.9929,,,392.6154,327.9451,,,"Souhrnný report mBank; samostatný český rozsah nepotvrzen. Čtvrtletní dostupnost je nevážený průměr publikovaných denních uptime; odezva je průměr denních hodnot nad 0 ms; společná chybovost API je nevážený průměr denních procent, nikoli poměr všech chybných volání. Samostatná dostupnost ani chybovost AISP/PISP se ze souhrnu neodvozuje.","Souhrnné reporty mBank jsou na výslovnou žádost zahrnuty do statistik trackeru. Samostatný český rozsah není potvrzen: API rozlišuje cz-retail, sk-retail a pl-retail, PDF tyto identifikátory neobsahují. Čísla nejsou označena jako ověřené samostatné metriky ČR. Katalog EN/PL nabízí dohromady 28 různých PDF; společná chybovost API není samostatná chybovost AISP/PISP.",https://developer.api.mbank.cz/reports,0.0604,unverified,summary,91,91,2026-04-01,2026-06-30
unicredit,UniCredit Bank,main,ok,ok,2026-Q2,https://developer.unicredit.eu/report?view=kpi,100.0,,,345.29,248.6567,0.1567,0.1567,prumer mesicnich hodnot CZ Dedicated Interface; spolecna error response rate v procentech,"Mesicni data pro CZ, Dedicated Interface; tracker sklada posledni uzavrene ctvrtleti.",https://developer.unicredit.eu/report?view=kpi,,,,,,,
creditas,Banka CREDITAS,main,blocked,http-403,2026-Q2,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2026.pdf,99.956,,,1819.5176,938.0659,,,prumer dennich hodnot z PDF tabulky se zachovanymi prazdnymi sloupci,Prehledova stranka muze blokovat automaticke klienty; PDF maji stabilni a predvidatelnou adresu. Automaticke nacteni selhalo: HTTP 403 Posledni zname metriky byly zachovany z predchoziho behu.,https://www.creditas.cz/povinne-uverejnovane-informace#statisticke-udaje-o-dostupnosti,,,,,,,
trinity,Trinity Bank,main,ok,ok,2026-Q2,https://www.trinitybank.cz/download/3036,99.9951,,,,,,,aritmeticky prumer dennich uptime hodnot vsech PSD2 sluzeb,"Tracker vybira pouze API report, nikoli paralelni report internetoveho bankovnictvi.",https://www.trinitybank.cz/otevrene-bankovnictvi/,,,,,,,
partners,Partners Banka,main,partial,ok,rolling-30d-to-2026-09-21,https://jakbezi.partnersbanka.cz/,99.9853,,,,,,,prumer 30 publikovanych dennich PSD2 health-check hodnot; nikoli ctvrtletni RTS report,Oficialni stavovy web publikuje denni PSD2 health-check za poslednich 30 dni; nejde o ctvrtletni RTS statistiku.,https://jakbezi.partnersbanka.cz/,,,,,,,
