bank_id,bank,period,calendar_days,archived_days,first_day,last_day,days_with_availability,days_with_aisp_response,days_with_pisp_response,source_url
air,Air Bank,2019-Q1,90,89,2019-01-01,2019-03-30,89,89,89,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
air,Air Bank,2019-Q2,91,91,2019-04-01,2019-06-30,91,91,91,https://www.airbank.cz/file-download/statistiky-dostupnosti-2Q-2019
jt,J&T Banka,2019-Q2,91,87,2019-04-01,2019-06-26,87,87,87,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/631e663a-2b61-4063-a3cd-ca4201dddc24/Q2_2019_psd2_unavailability.pdf
air,Air Bank,2019-Q3,92,92,2019-07-01,2019-09-30,92,92,92,https://www.airbank.cz/file-download/statistiky-dostupnosti-3Q-2019
creditas,Banka CREDITAS,2019-Q3,92,92,2019-07-01,2019-09-30,92,92,92,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2019.pdf
fio,Fio banka,2019-Q3,92,16,2019-09-15,2019-09-30,16,16,16,https://developers.fio.cz/stats/PSD2_2019Q3.pdf
jt,J&T Banka,2019-Q3,92,92,2019-07-01,2019-09-30,92,92,92,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/6677d0e3-7ab3-4cff-bbbb-8731d18fcbe5/Q3_2019_psd2_unavailability.pdf
trinity,Trinity Bank,2019-Q3,92,17,2019-09-14,2019-09-30,17,0,0,https://www.trinitybank.cz/download/613
air,Air Bank,2019-Q4,92,92,2019-10-01,2019-12-31,92,92,92,https://www.airbank.cz/file-download/statistiky-dostupnosti-4Q-2019
creditas,Banka CREDITAS,2019-Q4,92,92,2019-10-01,2019-12-31,92,92,92,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2019.pdf
fio,Fio banka,2019-Q4,92,92,2019-10-01,2019-12-31,92,92,92,https://developers.fio.cz/stats/PSD2_2019Q4.pdf
jt,J&T Banka,2019-Q4,92,92,2019-10-01,2019-12-31,92,92,92,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/b44b4362-43eb-425b-8f66-3866cee614b3/Q4_2019_psd2_unavailability.pdf
trinity,Trinity Bank,2019-Q4,92,92,2019-10-01,2019-12-31,92,0,0,https://www.trinitybank.cz/download/691
air,Air Bank,2020-Q1,91,91,2020-01-01,2020-03-31,91,91,91,https://www.airbank.cz/file-download/statistiky-dostupnosti-1q-2020.pdf
creditas,Banka CREDITAS,2020-Q1,91,91,2020-01-01,2020-03-31,91,91,91,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2020.pdf
fio,Fio banka,2020-Q1,91,91,2020-01-01,2020-03-31,91,91,91,https://developers.fio.cz/stats/PSD2_2020Q1.pdf
jt,J&T Banka,2020-Q1,91,91,2020-01-01,2020-03-31,91,91,91,https://assets-eu-01.kc-usercontent.com:443/23883f12-8a12-01af-3f05-426faedce691/014afa20-35b0-4e45-bcaf-bfa9ed7d62fc/Q1_2020_PSD2_unavailability.pdf
trinity,Trinity Bank,2020-Q1,91,91,2020-01-01,2020-03-31,91,0,0,https://www.trinitybank.cz/download/811
