bank,period,metric,previous_tracker_value,corrected_value,report_url
Air Bank,2019-Q1,availability_pct,100.0,99.0617,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
Air Bank,2019-Q1,aisp_response_ms,605.0,971.4719,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
Air Bank,2019-Q1,pisp_response_ms,74.5,124.5955,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
Air Bank,2019-Q1,aisp_error_pct,720.005,0.034,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
Air Bank,2019-Q1,pisp_error_pct,0.02,0.0266,https://www.airbank.cz/file-download/statistiky-dostupnosti-1Q-2019
Banka CREDITAS,2019-Q3,aisp_error_pct,,0.355,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2019.pdf
Banka CREDITAS,2019-Q3,pisp_error_pct,,0.355,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2019.pdf
Banka CREDITAS,2019-Q4,aisp_error_pct,,0.0055,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2019.pdf
Banka CREDITAS,2019-Q4,pisp_error_pct,,0.0055,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2019.pdf
Banka CREDITAS,2020-Q1,aisp_error_pct,,0.0503,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2020.pdf
Banka CREDITAS,2020-Q1,pisp_error_pct,,0.0503,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2020.pdf
Banka CREDITAS,2020-Q2,aisp_response_ms,110.2418,587.989,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2020.pdf
Banka CREDITAS,2020-Q2,pisp_response_ms,532.2222,613.6,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2020.pdf
Banka CREDITAS,2020-Q2,aisp_error_pct,,0.0464,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2020.pdf
Banka CREDITAS,2020-Q2,pisp_error_pct,,0.0464,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2020.pdf
Banka CREDITAS,2020-Q3,aisp_response_ms,143.2935,380.663,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2020.pdf
Banka CREDITAS,2020-Q3,pisp_response_ms,543.1111,344.0,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2020.pdf
Banka CREDITAS,2020-Q3,aisp_error_pct,,0.0999,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2020.pdf
Banka CREDITAS,2020-Q3,pisp_error_pct,,0.0999,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2020.pdf
Banka CREDITAS,2020-Q4,aisp_response_ms,172.9022,574.3043,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2020.pdf
Banka CREDITAS,2020-Q4,pisp_response_ms,902.8125,1580.6667,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2020.pdf
Banka CREDITAS,2020-Q4,aisp_error_pct,,0.1072,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2020.pdf
Banka CREDITAS,2020-Q4,pisp_error_pct,,0.1072,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-4q-2020.pdf
Banka CREDITAS,2021-Q1,aisp_response_ms,,337.3222,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2021.pdf
Banka CREDITAS,2021-Q1,pisp_response_ms,,667.7895,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2021.pdf
Banka CREDITAS,2021-Q1,aisp_error_pct,,0.157,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2021.pdf
Banka CREDITAS,2021-Q1,pisp_error_pct,,0.157,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-1q-2021.pdf
ČSOB,2021-Q1,aisp_response_ms,0.0239,642.717,https://www.csob.cz/documents/10710/21871290/psd2-q1-2021.xlsx
ČSOB,2021-Q1,aisp_error_pct,5652.5933,2.3899,https://www.csob.cz/documents/10710/21871290/psd2-q1-2021.xlsx
Air Bank,2021-Q2,aisp_response_ms,72.0,67.033,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2021
Air Bank,2021-Q2,pisp_response_ms,30.7083,30.5495,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2021
Air Bank,2021-Q2,aisp_error_pct,0.0104,0.0032,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2021
Air Bank,2021-Q2,pisp_error_pct,0.0608,0.0544,https://www.airbank.cz/file-download/statistiky-dostupnosti-2q-2021
Banka CREDITAS,2021-Q2,aisp_response_ms,,7087.8947,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2021.pdf
Banka CREDITAS,2021-Q2,pisp_response_ms,,619.1212,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2021.pdf
Banka CREDITAS,2021-Q2,aisp_error_pct,,0.0352,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2021.pdf
Banka CREDITAS,2021-Q2,pisp_error_pct,,0.0352,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-2q-2021.pdf
ČSOB,2021-Q2,aisp_response_ms,0.0413,605.7599,https://www.csob.cz/documents/10710/21871290/psd2-q2-2021.xlsx
ČSOB,2021-Q2,aisp_error_pct,1966.5934,4.1281,https://www.csob.cz/documents/10710/21871290/psd2-q2-2021.xlsx
Banka CREDITAS,2021-Q3,availability_pct,95.3846,100.0,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2021.pdf
Banka CREDITAS,2021-Q3,aisp_response_ms,3474.1667,5521.6923,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2021.pdf
Banka CREDITAS,2021-Q3,pisp_response_ms,1085.2258,606.9375,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2021.pdf
Banka CREDITAS,2021-Q3,aisp_error_pct,,0.0052,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2021.pdf
Banka CREDITAS,2021-Q3,pisp_error_pct,,0.0052,https://www.creditas.cz/files/statisticke-udaje-o-dostupnosti-a-vykonu-rozhrani-3q-2021.pdf
